.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	1
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.5	1
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	1
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.5	1
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk	1	1	0.5	1	0.5	0.5	1	0.5	0.25	0.5	1
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk	1	1	0.5	1	0.5	0.5	1	0.5	0.25	0.5	1
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk	1	1	0.5	1	0.5	0.5	1	0.5	0.25	0.5	1
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	1
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R1_001_bbduk	1	1	0.5	1	0.5	0.5	1	0.5	0.25	0.5	1
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001_bbduk	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	1
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001_bbduk	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001_bbduk	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001_bbduk	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001_bbduk	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
