Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0009205030549195135)	(90, 0.006213395620706716)	(95, 0.009665282076654892)	(100, 0.017489558043470757)	(105, 0.023702953664177472)	(110, 0.037740625251700056)	(115, 0.05707118940500984)	(120, 0.0745607474484806)	(125, 0.09412143736552026)	(130, 0.11046036659034161)	(135, 0.1139122530462898)	(140, 0.1139122530462898)
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk - polya	(1, 0.026464462828936015)	(2, 0.029916349284884187)	(3, 0.03106697810353358)	(4, 0.03106697810353358)	(5, 0.03682012219678054)	(6, 0.039121379834079324)	(7, 0.044874523927326285)	(8, 0.04717578156462507)	(9, 0.04832641038327446)	(10, 0.05177829683922264)	(15, 0.06604609419047511)	(20, 0.07410049592102083)	(25, 0.08974904785465257)	(30, 0.1033264679147154)	(35, 0.12196665477683552)	(40, 0.13830558400165688)	(45, 0.14244784774879474)	(50, 0.145669608441013)	(55, 0.1509625010068002)	(60, 0.15694577086377706)	(65, 0.16500017259432279)	(70, 0.17719683807200637)	(75, 0.18778262320358077)	(80, 0.20066966597245398)	(85, 0.21401696026878686)	(90, 0.22391236810917164)	(95, 0.2328872728946369)	(100, 0.24186217768010215)	(105, 0.2754605391846644)	(110, 0.3106697810353358)	(115, 0.3371342438642719)	(120, 0.35807568836369075)	(125, 0.38730166035738534)	(130, 0.4165276323510799)	(135, 0.45864064711364766)	(140, 0.505126051387083)
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0006903772911896351)	(15, 0.0011506288186493919)	(20, 0.0011506288186493919)	(25, 0.0011506288186493919)	(30, 0.0016108803461091486)	(35, 0.0023012576372987838)	(40, 0.0023012576372987838)	(45, 0.006673647148166473)	(50, 0.011966539713953676)	(55, 0.013577420060062826)	(60, 0.014958174642442094)	(65, 0.016338929224821365)	(70, 0.020020941444499417)	(75, 0.030376600812343946)	(80, 0.033368235740832364)	(85, 0.038661128306619566)	(90, 0.047405907328354945)	(95, 0.05960257280603851)	(100, 0.07041848370134278)	(105, 0.07686200508577937)	(110, 0.07939338848680805)	(115, 0.08238502341529645)	(120, 0.08882854479973305)	(125, 0.0989540784038477)	(130, 0.10171558756860626)	(135, 0.11759426526596786)	(140, 0.1288704276887319)
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk - illumina_universal_adapter	(1, 0.008054401730545743)	(2, 0.008054401730545743)	(3, 0.008054401730545743)	(4, 0.008054401730545743)	(5, 0.008054401730545743)	(6, 0.008054401730545743)	(7, 0.008054401730545743)	(8, 0.008054401730545743)	(9, 0.008054401730545743)	(10, 0.008054401730545743)	(15, 0.008054401730545743)	(20, 0.008054401730545743)	(25, 0.008054401730545743)	(30, 0.008054401730545743)	(35, 0.008054401730545743)	(40, 0.008054401730545743)	(45, 0.008054401730545743)	(50, 0.008054401730545743)	(55, 0.008054401730545743)	(60, 0.008054401730545743)	(65, 0.008974904785465258)	(70, 0.011046036659034163)	(75, 0.013807545823792702)	(80, 0.013807545823792702)	(85, 0.016108803461091486)	(90, 0.022092073318068325)	(95, 0.03474899032321164)	(100, 0.05039754225684336)	(105, 0.07110886099253241)	(110, 0.09412143736552026)	(115, 0.12127627748564591)	(120, 0.1629290407207539)	(125, 0.21171570263148806)	(130, 0.25313834010286623)	(135, 0.26142286759714184)	(140, 0.26234337065206137)
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk - polya	(1, 0.003451886455948176)	(2, 0.0046025152745975675)	(3, 0.010355659367844527)	(4, 0.012656917005143311)	(5, 0.013807545823792703)	(6, 0.01841006109839027)	(7, 0.020711318735689054)	(8, 0.021861947554338446)	(9, 0.021861947554338446)	(10, 0.021861947554338446)	(15, 0.02462345671909699)	(20, 0.02922597199369455)	(25, 0.033828487268292115)	(30, 0.047175781564625076)	(35, 0.05615068635009033)	(40, 0.07087873522880254)	(45, 0.0810042688329172)	(50, 0.08859841903600316)	(55, 0.10286621638725564)	(60, 0.11368212728255993)	(65, 0.12196665477683552)	(70, 0.12679929581516297)	(75, 0.1415273446938752)	(80, 0.1755859577258972)	(85, 0.20481192971959175)	(90, 0.230816141021068)	(95, 0.2512973339930272)	(100, 0.2680965147453084)	(105, 0.2874270788986181)	(110, 0.3028455050685199)	(115, 0.3115902840902553)	(120, 0.3210254404031804)	(125, 0.3394355015015706)	(130, 0.3479501547595761)	(135, 0.3534731730890932)	(140, 0.35784556259996086)
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk - polyg	(1, 0.03221760692218297)	(2, 0.033368235740832364)	(3, 0.033368235740832364)	(4, 0.033368235740832364)	(5, 0.033368235740832364)	(6, 0.033368235740832364)	(7, 0.033368235740832364)	(8, 0.033368235740832364)	(9, 0.033368235740832364)	(10, 0.033368235740832364)	(15, 0.033368235740832364)	(20, 0.034058613032022)	(25, 0.034518864559481756)	(30, 0.03589961914186103)	(35, 0.03682012219678054)	(40, 0.038661128306619566)	(45, 0.04096238594391835)	(50, 0.042803392053757376)	(55, 0.04372389510867689)	(60, 0.04418414663613665)	(65, 0.046485404273435435)	(70, 0.049707164965653736)	(75, 0.05707118940500984)	(80, 0.061903830443337284)	(85, 0.06742684877285438)	(90, 0.0745607474484806)	(95, 0.07916326272307815)	(100, 0.08422602952513547)	(105, 0.09343106007433062)	(110, 0.0989540784038477)	(115, 0.10194571333233612)	(120, 0.10401684520590504)	(125, 0.1127616242276404)	(130, 0.1258787927602435)	(135, 0.14198759622133494)	(140, 0.1564855193363173)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00021953655832537513)	(55, 0.001756292466603001)	(60, 0.0030735118165552515)	(65, 0.004390731166507502)	(70, 0.005488413958134378)	(75, 0.010976827916268757)	(80, 0.013611266616173257)	(85, 0.01800199778268076)	(90, 0.025685777324068886)	(95, 0.03512584933206002)	(100, 0.05620135893129604)	(105, 0.07903316099713505)	(110, 0.10625569422948156)	(115, 0.13699081239503408)	(120, 0.1721166617270941)	(125, 0.20724251105915412)	(130, 0.23863623889968277)	(135, 0.25817499259064114)	(140, 0.2601508216155695)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk - polya	(1, 0.027442069790671892)	(2, 0.03402816654043315)	(3, 0.03402816654043315)	(4, 0.0362235321236869)	(5, 0.04171194608182128)	(6, 0.04280962887344815)	(7, 0.045004994456701905)	(8, 0.046102677248328776)	(9, 0.04829804283158253)	(10, 0.05466460302301841)	(15, 0.07464242983062755)	(20, 0.0829848190469918)	(25, 0.09747423189646656)	(30, 0.10801198669608456)	(35, 0.11701298558742494)	(40, 0.13238054467020122)	(45, 0.13808849518666094)	(50, 0.14533320161139834)	(55, 0.150382542452882)	(60, 0.15499281017771485)	(65, 0.15916400478589696)	(70, 0.16421334562738057)	(75, 0.1740924907520225)	(80, 0.190777269184751)	(85, 0.21207231534231238)	(90, 0.22239053358360503)	(95, 0.2373190195497305)	(100, 0.2471981646743724)	(105, 0.27244486888179054)	(110, 0.30515581607227144)	(115, 0.3286462278130866)	(120, 0.34928266429567184)	(125, 0.39318997596074684)	(130, 0.4280962887344815)	(135, 0.4619049187165893)	(140, 0.4961526218153478)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0006586096749761253)	(30, 0.0010976827916268756)	(35, 0.0010976827916268756)	(40, 0.0019758290249283763)	(45, 0.0052688773998090035)	(50, 0.011635437591244881)	(55, 0.013391730057847884)	(60, 0.01580663219942701)	(65, 0.01756292466603001)	(70, 0.02129504615756139)	(75, 0.02480763109076739)	(80, 0.028978825698949516)	(85, 0.03380862998210776)	(90, 0.041711946081821286)	(95, 0.0485175793899079)	(100, 0.05598182237297067)	(105, 0.06586096749761254)	(110, 0.0724470642473738)	(115, 0.07969177067211118)	(120, 0.08957091579675305)	(125, 0.0996695974797203)	(130, 0.11042688883766369)	(135, 0.12228186298723394)	(140, 0.1350149833701057)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk - illumina_universal_adapter	(1, 0.0010976827916268756)	(2, 0.0010976827916268756)	(3, 0.0010976827916268756)	(4, 0.0010976827916268756)	(5, 0.0010976827916268756)	(6, 0.0010976827916268756)	(7, 0.0010976827916268756)	(8, 0.0010976827916268756)	(9, 0.0010976827916268756)	(10, 0.0010976827916268756)	(15, 0.0010976827916268756)	(20, 0.0010976827916268756)	(25, 0.0010976827916268756)	(30, 0.0010976827916268756)	(35, 0.0010976827916268756)	(40, 0.0010976827916268756)	(45, 0.0010976827916268756)	(50, 0.0010976827916268756)	(55, 0.0010976827916268756)	(60, 0.002195365583253751)	(65, 0.0028539752582298766)	(70, 0.0065860967497612544)	(75, 0.011854974149570256)	(80, 0.01492848596612551)	(85, 0.024368557974116637)	(90, 0.03380862998210777)	(95, 0.04434638478172578)	(100, 0.05773811483957366)	(105, 0.0812285265803888)	(110, 0.1209646436372817)	(115, 0.15499281017771485)	(120, 0.20482760891757498)	(125, 0.24939353025762614)	(130, 0.29461806127265344)	(135, 0.3106442300304058)	(140, 0.3117419128220327)
