Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk	0.5120298242989794	6.513709742374208
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk	0.7283480422050651	5.132955159994937
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk	0.5181062776478853	5.698071371335112
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk	0.6871494275584242	4.922009637654911
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk	0.8152283310296703	5.770340450086555
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk	0.6354084193292986	5.608636723520176
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk	0.8927850044437262	5.879184508900918
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk	0.5655651611860709	5.951900029624841
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk	0.187302077701398	0.7183131227311346
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk	0.2375067583223913	0.9210627944697614
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R1_001_bbduk	0.2035374047096294	0.7566691480640388
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001_bbduk	0.18280674311883383	1.1788208022766036
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001_bbduk	0.25985468568436915	1.8598444702667503
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001_bbduk	0.39840128714261996	2.4133924124985633
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001_bbduk	0.21577814995326897	1.9733664527703028
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001_bbduk	0.3895297416307559	2.2863702226153064
