Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk	(1, 36.373275495058046)	(2, 36.429978483241094)	(3, 36.423465924127534)	(4, 36.476601962972765)	(5, 36.474346730488215)	(6, 36.49271076643386)	(7, 36.49063963456029)	(8, 36.50262918685061)	(9, 36.49434465935634)	(10, 36.49524214983488)	(15, 36.46825300026465)	(20, 36.42654500684624)	(25, 36.38333199093304)	(30, 36.36170016914244)	(35, 36.34497002611927)	(40, 36.302995086814946)	(45, 36.26690216203155)	(50, 36.228522081016834)	(55, 36.210774054541105)	(60, 36.167721133614606)	(65, 36.136277291941596)	(70, 36.084419286771436)	(75, 36.029059251568135)	(80, 35.99902716772715)	(85, 36.01611319558974)	(90, 35.96125627747064)	(95, 35.913816878945326)	(100, 35.87977591975705)	(105, 35.84912958695197)	(110, 35.800335980385626)	(115, 35.74720704448315)	(120, 35.690494528947646)	(125, 35.667812006203626)	(130, 35.60572283183656)	(135, 35.56975227041744)	(140, 35.52064225293326)	(145, 35.451010380019184)	(150, 35.083708894251735)
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk	(1, 36.068508439862384)	(2, 36.19826485174148)	(3, 35.99415480560126)	(4, 36.09134842191258)	(5, 36.148258523282976)	(6, 36.187540991151664)	(7, 36.212946875467445)	(8, 36.20323556823804)	(9, 36.18116650749635)	(10, 36.242669919110796)	(15, 36.20882302178141)	(20, 36.20261883119124)	(25, 36.169865031239574)	(30, 36.16180832825139)	(35, 36.1419852949637)	(40, 36.11660242322429)	(45, 36.08881703851155)	(50, 36.05694548018998)	(55, 35.99495903783885)	(60, 35.91485857343456)	(65, 35.87340715520876)	(70, 35.82599631134762)	(75, 35.80800185034742)	(80, 35.751774400982676)	(85, 35.73224625289411)	(90, 35.71563288252524)	(95, 35.708462837630236)	(100, 35.612773729984966)	(105, 35.584054815457534)	(110, 35.57166726021861)	(115, 35.50771915860953)	(120, 35.42521874105667)	(125, 35.363712141819775)	(130, 35.27590853873023)	(135, 35.13546679289678)	(140, 34.992564419242214)	(145, 34.951593840062884)	(150, 34.167146257661415)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk	(1, 36.36187308591563)	(2, 36.41647182797115)	(3, 36.44343091733351)	(4, 36.46248669059615)	(5, 36.46448447327691)	(6, 36.496602671759916)	(7, 36.49265101371006)	(8, 36.496712440039076)	(9, 36.50569148527458)	(10, 36.489630190667505)	(15, 36.4534198307373)	(20, 36.44441005038364)	(25, 36.37298602649806)	(30, 36.364244080745536)	(35, 36.32673845512124)	(40, 36.292438063248476)	(45, 36.25026509039418)	(50, 36.21912382727087)	(55, 36.188842927995665)	(60, 36.15360818994134)	(65, 36.11139970356594)	(70, 36.0707322685251)	(75, 36.009820474588004)	(80, 35.98202000154269)	(85, 35.97556531476502)	(90, 35.926017991568834)	(95, 35.89762733006842)	(100, 35.84659917225882)	(105, 35.808193084406284)	(110, 35.76406121340601)	(115, 35.70364237830972)	(120, 35.63059739740759)	(125, 35.59450385222014)	(130, 35.54287713762381)	(135, 35.48362751320927)	(140, 35.46026238679125)	(145, 35.39221806137825)	(150, 34.988840318080776)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk	(1, 36.10534461751243)	(2, 36.21653988430423)	(3, 36.044532990856304)	(4, 36.13351115794558)	(5, 36.16407064686447)	(6, 36.190876060636)	(7, 36.22180876170404)	(8, 36.252873184707084)	(9, 36.20887805841868)	(10, 36.25609159065213)	(15, 36.236917267647996)	(20, 36.230076508490576)	(25, 36.2018353256276)	(30, 36.18267856554813)	(35, 36.17463035531993)	(40, 36.158757862152996)	(45, 36.12872087024292)	(50, 36.09223735381242)	(55, 36.02528250768015)	(60, 35.950878930120965)	(65, 35.90636891783932)	(70, 35.872603272566735)	(75, 35.833144036682185)	(80, 35.79716059772921)	(85, 35.77061811075914)	(90, 35.745116904818644)	(95, 35.75535518970641)	(100, 35.65029045761378)	(105, 35.627629284869535)	(110, 35.60095650356382)	(115, 35.548035629185804)	(120, 35.44552942335135)	(125, 35.37947108143919)	(130, 35.29284964591526)	(135, 35.169018302365444)	(140, 35.014280098187236)	(145, 34.95151478774965)	(150, 34.20840898518974)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk	(1, 36.343254740401775)	(2, 36.43008494477918)	(3, 36.42093962613561)	(4, 36.46734389887143)	(5, 36.47303372294314)	(6, 36.48477569478925)	(7, 36.476616701780756)	(8, 36.49781934808572)	(9, 36.49019713093305)	(10, 36.48145305224172)	(15, 36.458638736429634)	(20, 36.426736805378496)	(25, 36.371668970329715)	(30, 36.343139333592774)	(35, 36.33104308968183)	(40, 36.29976784444236)	(45, 36.2742602557737)	(50, 36.22884991147725)	(55, 36.19933312650406)	(60, 36.164519703950305)	(65, 36.1342095602025)	(70, 36.11400754387402)	(75, 36.031253651623224)	(80, 36.0141383788991)	(85, 36.00078239262168)	(90, 35.96456052368332)	(95, 35.93279884510324)	(100, 35.88965339533341)	(105, 35.861685360638226)	(110, 35.81725309085951)	(115, 35.75710074968184)	(120, 35.70858785080527)	(125, 35.68520417605625)	(130, 35.65968543064669)	(135, 35.612311628550366)	(140, 35.561889449800354)	(145, 35.51005855812614)	(150, 35.121724104828644)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk	(1, 36.05998470188811)	(2, 36.20533018424831)	(3, 36.002670459882715)	(4, 36.09933037211986)	(5, 36.13564325876622)	(6, 36.1920852400059)	(7, 36.211503106590264)	(8, 36.23513466364283)	(9, 36.23544330975993)	(10, 36.269002536265916)	(15, 36.24615198808358)	(20, 36.24682295790335)	(25, 36.209288906185)	(30, 36.19160482561494)	(35, 36.17039412767214)	(40, 36.15567304982622)	(45, 36.120086152524856)	(50, 36.10315825559011)	(55, 36.064792396598925)	(60, 35.98398720518871)	(65, 35.9430289613485)	(70, 35.900380223330316)	(75, 35.86443270233049)	(80, 35.81163448589173)	(85, 35.789957645763636)	(90, 35.75928312873452)	(95, 35.75030634291935)	(100, 35.65458961139102)	(105, 35.62972887352756)	(110, 35.61094986412173)	(115, 35.541594807218374)	(120, 35.44746964548172)	(125, 35.37472273906958)	(130, 35.279091611398016)	(135, 35.14858086521697)	(140, 34.990661134521005)	(145, 34.93037291321066)	(150, 34.186408660715145)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk	(1, 36.37655193773397)	(2, 36.44416390617005)	(3, 36.44666181896528)	(4, 36.483760200371655)	(5, 36.491947429371685)	(6, 36.490176671783686)	(7, 36.49447900675985)	(8, 36.515647302792814)	(9, 36.49796665858717)	(10, 36.49808785112171)	(15, 36.466742075354816)	(20, 36.44444803533436)	(25, 36.39033422207858)	(30, 36.37743125690124)	(35, 36.34507285017909)	(40, 36.32749454633595)	(45, 36.2871482050039)	(50, 36.25120004995093)	(55, 36.21991311752028)	(60, 36.19532251655839)	(65, 36.159655387422276)	(70, 36.125127315091525)	(75, 36.04847537070141)	(80, 36.02751182805624)	(85, 36.02387875115174)	(90, 35.978661174076095)	(95, 35.94840455208256)	(100, 35.90408378171177)	(105, 35.88767425321596)	(110, 35.83342521742382)	(115, 35.782712348255714)	(120, 35.72084147416597)	(125, 35.710622274598904)	(130, 35.654958300679894)	(135, 35.620349577781774)	(140, 35.57563027421445)	(145, 35.51454901960785)	(150, 35.10403921568627)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk	(1, 36.04008779725836)	(2, 36.148918693275164)	(3, 35.96372976757965)	(4, 36.07635129676012)	(5, 36.11688346664512)	(6, 36.142710942339285)	(7, 36.17944574614204)	(8, 36.21311033906978)	(9, 36.18177533597264)	(10, 36.23990735504026)	(15, 36.2300880665751)	(20, 36.216740728771114)	(25, 36.19079206054241)	(30, 36.16888583663247)	(35, 36.15485982063505)	(40, 36.1365893727613)	(45, 36.09740647976084)	(50, 36.07684498050165)	(55, 36.03796500278334)	(60, 35.9660026175245)	(65, 35.93108944928393)	(70, 35.88820628066204)	(75, 35.8473276217848)	(80, 35.80573739431966)	(85, 35.785251838941704)	(90, 35.72943046275261)	(95, 35.7271640800966)	(100, 35.634824846324214)	(105, 35.61534782868689)	(110, 35.59087987779539)	(115, 35.52040240493487)	(120, 35.40279843875143)	(125, 35.34603934321639)	(130, 35.24843500593225)	(135, 35.10625657210609)	(140, 34.95725223775592)	(145, 34.908917684421006)	(150, 34.13298112171884)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk	(1, 36.138584228006486)	(2, 36.18074650498185)	(3, 36.25776241600371)	(4, 36.30984011740171)	(5, 36.33115779717309)	(6, 36.32710280373832)	(7, 36.30145979763652)	(8, 36.33635205066811)	(9, 36.33021163203831)	(10, 36.36041167838109)	(15, 36.370553023866535)	(20, 36.35009654746274)	(25, 36.30082258438248)	(30, 36.29374758631344)	(35, 36.28576118019619)	(40, 36.264628871553256)	(45, 36.26082876342009)	(50, 36.242310197246454)	(55, 36.220223867764346)	(60, 36.20502961423224)	(65, 36.17818409048659)	(70, 36.17759372062423)	(75, 36.14447329077643)	(80, 36.12909146755645)	(85, 36.10715630904796)	(90, 36.07336062771468)	(95, 36.05592820135342)	(100, 36.052861511530665)	(105, 36.036793195130514)	(110, 35.99176872555343)	(115, 35.95898085122587)	(120, 35.92356843682711)	(125, 35.898838298491626)	(130, 35.863646136009336)	(135, 35.84117142274658)	(140, 35.81207382650013)	(145, 35.76226137099745)	(150, 35.396387699889495)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk	(1, 35.824524986483354)	(2, 35.947922298601995)	(3, 36.083301150845756)	(4, 36.10262995288484)	(5, 36.147563142040624)	(6, 36.171333127365415)	(7, 36.190604000926854)	(8, 36.24546226925156)	(9, 36.237487448829846)	(10, 36.25363018459875)	(15, 36.2611647485904)	(20, 36.25642619911948)	(25, 36.21240055611338)	(30, 36.1925349501815)	(35, 36.168494631961075)	(40, 36.13487680543755)	(45, 36.10202749671738)	(50, 36.06110187116445)	(55, 35.99557909953736)	(60, 35.960947232185994)	(65, 35.889296933235975)	(70, 35.82731037558281)	(75, 35.79534465559591)	(80, 35.721881327497236)	(85, 35.65842905010856)	(90, 35.58395624735491)	(95, 35.52296831723948)	(100, 35.43848991690249)	(105, 35.39538611816273)	(110, 35.298292613022184)	(115, 35.24007709452379)	(120, 35.12983184234047)	(125, 35.031317123824174)	(130, 34.906448714426475)	(135, 34.780719651381546)	(140, 34.61739959676298)	(145, 34.57737033781238)	(150, 33.7398091171669)
