Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk	(19.0, 2.0)	(20.0, 7.0)	(21.0, 16.0)	(22.0, 41.0)	(23.0, 77.0)	(24.0, 117.0)	(25.0, 188.0)	(26.0, 275.0)	(27.0, 401.0)	(28.0, 532.0)	(29.0, 738.0)	(30.0, 892.0)	(31.0, 1237.0)	(32.0, 1414.0)	(33.0, 1997.0)	(34.0, 3022.0)	(35.0, 6617.0)	(36.0, 54326.0)	(37.0, 15010.0)							
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk	(15.0, 1.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 7.0)	(19.0, 12.0)	(20.0, 47.0)	(21.0, 122.0)	(22.0, 202.0)	(23.0, 238.0)	(24.0, 253.0)	(25.0, 271.0)	(26.0, 331.0)	(27.0, 409.0)	(28.0, 461.0)	(29.0, 619.0)	(30.0, 773.0)	(31.0, 1131.0)	(32.0, 1490.0)	(33.0, 2268.0)	(34.0, 4049.0)	(35.0, 10399.0)	(36.0, 57357.0)	(37.0, 6467.0)			
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk	(18.0, 2.0)	(19.0, 1.0)	(20.0, 5.0)	(21.0, 31.0)	(22.0, 53.0)	(23.0, 114.0)	(24.0, 151.0)	(25.0, 193.0)	(26.0, 284.0)	(27.0, 423.0)	(28.0, 584.0)	(29.0, 784.0)	(30.0, 979.0)	(31.0, 1213.0)	(32.0, 1543.0)	(33.0, 2129.0)	(34.0, 3212.0)	(35.0, 7048.0)	(36.0, 55233.0)	(37.0, 17119.0)						
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk	(12.0, 1.0)	(13.0, 2.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 20.0)	(20.0, 50.0)	(21.0, 109.0)	(22.0, 178.0)	(23.0, 244.0)	(24.0, 229.0)	(25.0, 272.0)	(26.0, 326.0)	(27.0, 394.0)	(28.0, 462.0)	(29.0, 594.0)	(30.0, 811.0)	(31.0, 1075.0)	(32.0, 1553.0)	(33.0, 2293.0)	(34.0, 4209.0)	(35.0, 10857.0)	(36.0, 59575.0)	(37.0, 7843.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk	(19.0, 6.0)	(20.0, 23.0)	(21.0, 40.0)	(22.0, 69.0)	(23.0, 88.0)	(24.0, 193.0)	(25.0, 267.0)	(26.0, 409.0)	(27.0, 599.0)	(28.0, 849.0)	(29.0, 1219.0)	(30.0, 1554.0)	(31.0, 2039.0)	(32.0, 2539.0)	(33.0, 3390.0)	(34.0, 5226.0)	(35.0, 11315.0)	(36.0, 91534.0)	(37.0, 27679.0)							
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk	(16.0, 3.0)	(17.0, 6.0)	(18.0, 7.0)	(19.0, 25.0)	(20.0, 51.0)	(21.0, 169.0)	(22.0, 280.0)	(23.0, 377.0)	(24.0, 349.0)	(25.0, 375.0)	(26.0, 528.0)	(27.0, 598.0)	(28.0, 766.0)	(29.0, 1021.0)	(30.0, 1361.0)	(31.0, 1790.0)	(32.0, 2412.0)	(33.0, 3763.0)	(34.0, 6802.0)	(35.0, 17823.0)	(36.0, 97256.0)	(37.0, 13276.0)				
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk	(18.0, 2.0)	(19.0, 5.0)	(20.0, 18.0)	(21.0, 46.0)	(22.0, 75.0)	(23.0, 108.0)	(24.0, 161.0)	(25.0, 224.0)	(26.0, 385.0)	(27.0, 551.0)	(28.0, 805.0)	(29.0, 1163.0)	(30.0, 1554.0)	(31.0, 1962.0)	(32.0, 2461.0)	(33.0, 3343.0)	(34.0, 5025.0)	(35.0, 11182.0)	(36.0, 92224.0)	(37.0, 27230.0)						
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk	(15.0, 1.0)	(16.0, 2.0)	(17.0, 5.0)	(18.0, 9.0)	(19.0, 25.0)	(20.0, 77.0)	(21.0, 154.0)	(22.0, 253.0)	(23.0, 346.0)	(24.0, 333.0)	(25.0, 370.0)	(26.0, 558.0)	(27.0, 653.0)	(28.0, 807.0)	(29.0, 1064.0)	(30.0, 1347.0)	(31.0, 1805.0)	(32.0, 2473.0)	(33.0, 3877.0)	(34.0, 6981.0)	(35.0, 17962.0)	(36.0, 96539.0)	(37.0, 12883.0)			
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk	(19.0, 1.0)	(20.0, 2.0)	(21.0, 13.0)	(22.0, 26.0)	(23.0, 39.0)	(24.0, 57.0)	(25.0, 104.0)	(26.0, 177.0)	(27.0, 278.0)	(28.0, 488.0)	(29.0, 741.0)	(30.0, 1034.0)	(31.0, 1386.0)	(32.0, 1718.0)	(33.0, 2412.0)	(34.0, 3750.0)	(35.0, 8392.0)	(36.0, 66946.0)	(37.0, 16012.0)							
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk	(14.0, 3.0)	(15.0, 0.0)	(16.0, 3.0)	(17.0, 6.0)	(18.0, 7.0)	(19.0, 10.0)	(20.0, 30.0)	(21.0, 44.0)	(22.0, 80.0)	(23.0, 140.0)	(24.0, 228.0)	(25.0, 354.0)	(26.0, 431.0)	(27.0, 597.0)	(28.0, 743.0)	(29.0, 949.0)	(30.0, 1228.0)	(31.0, 1607.0)	(32.0, 2151.0)	(33.0, 3230.0)	(34.0, 5641.0)	(35.0, 14037.0)	(36.0, 65771.0)	(37.0, 6286.0)		
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R1_001_bbduk	(19.0, 1.0)	(20.0, 6.0)	(21.0, 16.0)	(22.0, 29.0)	(23.0, 38.0)	(24.0, 55.0)	(25.0, 102.0)	(26.0, 190.0)	(27.0, 315.0)	(28.0, 498.0)	(29.0, 722.0)	(30.0, 995.0)	(31.0, 1489.0)	(32.0, 1850.0)	(33.0, 2637.0)	(34.0, 3850.0)	(35.0, 8686.0)	(36.0, 69535.0)	(37.0, 15109.0)							
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001_bbduk	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 4.0)	(18.0, 3.0)	(19.0, 10.0)	(20.0, 20.0)	(21.0, 61.0)	(22.0, 93.0)	(23.0, 160.0)	(24.0, 221.0)	(25.0, 317.0)	(26.0, 432.0)	(27.0, 646.0)	(28.0, 711.0)	(29.0, 994.0)	(30.0, 1247.0)	(31.0, 1593.0)	(32.0, 2249.0)	(33.0, 3284.0)	(34.0, 5883.0)	(35.0, 14378.0)	(36.0, 67346.0)	(37.0, 6465.0)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001_bbduk	(19.0, 2.0)	(20.0, 8.0)	(21.0, 18.0)	(22.0, 42.0)	(23.0, 51.0)	(24.0, 95.0)	(25.0, 147.0)	(26.0, 281.0)	(27.0, 471.0)	(28.0, 735.0)	(29.0, 1099.0)	(30.0, 1533.0)	(31.0, 2158.0)	(32.0, 2825.0)	(33.0, 3921.0)	(34.0, 5903.0)	(35.0, 13314.0)	(36.0, 102656.0)	(37.0, 21367.0)							
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001_bbduk	(14.0, 3.0)	(15.0, 3.0)	(16.0, 2.0)	(17.0, 5.0)	(18.0, 18.0)	(19.0, 24.0)	(20.0, 25.0)	(21.0, 76.0)	(22.0, 136.0)	(23.0, 200.0)	(24.0, 296.0)	(25.0, 411.0)	(26.0, 632.0)	(27.0, 721.0)	(28.0, 933.0)	(29.0, 1317.0)	(30.0, 1684.0)	(31.0, 2261.0)	(32.0, 3085.0)	(33.0, 4836.0)	(34.0, 8769.0)	(35.0, 22900.0)	(36.0, 99726.0)	(37.0, 8563.0)		
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001_bbduk	(19.0, 1.0)	(20.0, 4.0)	(21.0, 12.0)	(22.0, 42.0)	(23.0, 66.0)	(24.0, 80.0)	(25.0, 148.0)	(26.0, 235.0)	(27.0, 485.0)	(28.0, 734.0)	(29.0, 1193.0)	(30.0, 1527.0)	(31.0, 2111.0)	(32.0, 2748.0)	(33.0, 3826.0)	(34.0, 5773.0)	(35.0, 13347.0)	(36.0, 103633.0)	(37.0, 23458.0)							
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001_bbduk	(14.0, 1.0)	(15.0, 3.0)	(16.0, 3.0)	(17.0, 2.0)	(18.0, 12.0)	(19.0, 25.0)	(20.0, 40.0)	(21.0, 71.0)	(22.0, 121.0)	(23.0, 208.0)	(24.0, 311.0)	(25.0, 400.0)	(26.0, 551.0)	(27.0, 746.0)	(28.0, 963.0)	(29.0, 1244.0)	(30.0, 1627.0)	(31.0, 2211.0)	(32.0, 3036.0)	(33.0, 4655.0)	(34.0, 8705.0)	(35.0, 22091.0)	(36.0, 103119.0)	(37.0, 9278.0)		
