Sample	Unique Reads	Duplicate Reads
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk	31594.0	55315.0
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk	33458.0	53451.0
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk	33785.0	57316.0
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk	35351.0	55750.0
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk	53186.0	95852.0
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk	55881.0	93157.0
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk	53221.0	95303.0
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk	55960.0	92564.0
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk	39694.0	63882.0
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk	40042.0	63534.0
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R1_001_bbduk	40530.0	65593.0
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001_bbduk	40857.0	65266.0
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001_bbduk	63612.0	93014.0
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001_bbduk	63211.0	93415.0
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001_bbduk	62315.0	97108.0
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001_bbduk	61857.0	97566.0
