Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk	(1.0, 20.996674682714104)	(2.0, 14.265496093615159)	(3.0, 8.878251964698707)	(4.0, 5.725529001599374)	(5.0, 4.585255842317826)	(6.0, 3.4864053205076573)	(7.0, 2.883475819535376)	(8.0, 2.5129733399302716)	(9.0, 2.1332658297759726)	('>10', 22.355567317539034)	('>50', 6.311199070291915)	('>100', 5.865905717474599)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk	(1.0, 23.17366440759875)	(2.0, 14.272399866527058)	(3.0, 8.954193466729569)	(4.0, 6.102935254116375)	(5.0, 4.4471803840799)	(6.0, 3.382848726829212)	(7.0, 2.8432038108826476)	(8.0, 2.3748978816923447)	(9.0, 2.1125545110402837)	('>10', 22.17606922182973)	('>50', 5.564440966988459)	('>100', 3.8672634594806063)	('>500', 0.7283480422050651)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk	(1.0, 21.907553155289182)	(2.0, 14.175475571069473)	(3.0, 8.841834886554484)	(4.0, 5.953831461784174)	(5.0, 4.352312268800562)	(6.0, 3.0757071821385056)	(7.0, 2.704690398568622)	(8.0, 2.1690211962547066)	(9.0, 1.906675009055883)	('>10', 23.03377569949836)	('>50', 6.083358031196145)	('>100', 5.7957651397899035)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk	(1.0, 23.683603912141468)	(2.0, 14.247922635316845)	(3.0, 8.960384628050186)	(4.0, 5.598182237297066)	(5.0, 4.335847026926158)	(6.0, 3.444528600125136)	(7.0, 2.5663823668236354)	(8.0, 2.4149021415791267)	(9.0, 2.0252247505515855)	('>10', 21.759365978419556)	('>50', 5.6717269843360665)	('>100', 4.6047793108747435)	('>500', 0.6871494275584242)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk	(1.0, 20.99800050993706)	(2.0, 13.807216951381527)	(3.0, 8.695768864316483)	(4.0, 5.617359331177283)	(5.0, 4.056012560555026)	(6.0, 3.035467464673439)	(7.0, 2.531569130020532)	(8.0, 2.10416135482226)	(9.0, 1.9444705377152136)	('>10', 21.98701002428911)	('>50', 5.852869737919188)	('>100', 7.059273473879145)	('>500', 1.4955917282840618)	('>1k', 0.8152283310296703)	('>5k', 0.0)	('>10k+', 0.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk	(1.0, 22.72641876568392)	(2.0, 14.264818368469786)	(3.0, 8.56492974945987)	(4.0, 5.550262349199532)	(5.0, 3.8849152565117624)	(6.0, 2.9791059998121283)	(7.0, 2.587930594881842)	(8.0, 2.1417356647298007)	(9.0, 1.9505092660932113)	('>10', 20.513560300057705)	('>50', 6.51981373877803)	('>100', 5.469075001006455)	('>500', 2.8469249453159593)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk	(1.0, 21.12385877029975)	(2.0, 13.837494277019202)	(3.0, 8.641027712692898)	(4.0, 5.6287199375185155)	(5.0, 4.191241819503919)	(6.0, 3.300476690635857)	(7.0, 2.488486709218712)	(8.0, 2.138374942770192)	(9.0, 1.805768764644098)	('>10', 21.71568231396946)	('>50', 5.745872720907059)	('>100', 7.261452694514017)	('>500', 1.2287576418625945)	('>1k', 0.8927850044437262)	('>5k', 0.0)	('>10k+', 0.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk	(1.0, 23.06024615550349)	(2.0, 13.957340227841966)	(3.0, 8.606689827906601)	(4.0, 5.596401928307883)	(5.0, 3.8545958902264954)	(6.0, 3.017694110042821)	(7.0, 2.441356279119873)	(8.0, 2.2353289704020898)	(9.0, 1.8360668982790662)	('>10', 20.318601707468154)	('>50', 6.351835393606422)	('>100', 6.297298753063478)	('>500', 2.4265438582316663)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk	(1.0, 21.011624314513014)	(2.0, 15.594346180582374)	(3.0, 10.331543987024022)	(4.0, 7.476635514018691)	(5.0, 5.377693674210242)	(6.0, 3.7885224376303395)	(7.0, 3.5616359002085423)	(8.0, 2.687881362477794)	(9.0, 2.363481887695991)	('>10', 23.679230709816945)	('>50', 3.221788831389511)	('>100', 0.9056152004325326)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk	(1.0, 21.021279060786284)	(2.0, 15.380010813315826)	(3.0, 10.835521742488607)	(4.0, 7.638835251409592)	(5.0, 6.0438711670657295)	(6.0, 4.2867073453309645)	(7.0, 3.385919518035066)	(8.0, 3.0045570402409827)	(9.0, 2.4243067892175794)	('>10', 22.28411987332973)	('>50', 2.3393450220128216)	('>100', 1.3555263767668186)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R1_001_bbduk	(1.0, 21.05198684545292)	(2.0, 15.593226727476608)	(3.0, 10.312561838621223)	(4.0, 7.086117052853765)	(5.0, 4.871705473836963)	(6.0, 4.019863743015181)	(7.0, 3.1991180045795917)	(8.0, 2.683678373208447)	(9.0, 2.357641604553207)	('>10', 24.121067063690248)	('>50', 3.544000829226464)	('>100', 1.1590324434853896)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001_bbduk	(1.0, 21.132082583417354)	(2.0, 15.037268075723453)	(3.0, 10.770520999217888)	(4.0, 7.48565343987637)	(5.0, 5.700931937468786)	(6.0, 4.590899239561641)	(7.0, 3.528923984433158)	(8.0, 2.7289089075883646)	(9.0, 2.247392177002158)	('>10', 22.94601547261197)	('>50', 2.1795463754322815)	('>100', 1.6518568076665754)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001_bbduk	(1.0, 24.70854136605672)	(2.0, 15.232464597193315)	(3.0, 9.435215098387241)	(4.0, 6.236512456424859)	(5.0, 4.443706664283069)	(6.0, 3.5089959521407685)	(7.0, 2.601100711248452)	(8.0, 2.2218533321415346)	(9.0, 1.8042981369632116)	('>10', 20.954375391058953)	('>50', 4.969800671663709)	('>100', 3.883135622438165)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001_bbduk	(1.0, 24.250124500402233)	(2.0, 15.243956942014735)	(3.0, 9.416061190351538)	(4.0, 6.428051536781888)	(5.0, 4.545860840473485)	(6.0, 3.6698887796406723)	(7.0, 3.0122712704148737)	(8.0, 2.5793929488079885)	(9.0, 1.9307139299988507)	('>10', 20.407850548440233)	('>50', 4.294944645205777)	('>100', 3.822481580325106)	('>500', 0.39840128714261996)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001_bbduk	(1.0, 22.491735822309202)	(2.0, 15.898584269521965)	(3.0, 9.826687491767187)	(4.0, 6.794502675272702)	(5.0, 4.557058893635172)	(6.0, 3.5716301913776554)	(7.0, 2.6915815158415035)	(8.0, 2.3384329739121705)	(9.0, 2.015393011046085)	('>10', 20.620613085941176)	('>50', 5.32921849419469)	('>100', 3.8645615751804945)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001_bbduk	(1.0, 22.19754991437873)	(2.0, 15.321503170809732)	(3.0, 10.11271899286803)	(4.0, 6.82461125433595)	(5.0, 4.867553615224905)	(6.0, 3.8727159820101242)	(7.0, 3.2053091461081524)	(8.0, 2.4337768076124524)	(9.0, 2.128300182533261)	('>10', 20.746065498704706)	('>50', 4.016986256688182)	('>100', 3.565984832803297)	('>500', 0.706924345922483)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
