Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk	(50, 4.0)	(55, 10.0)	(60, 26.0)	(65, 41.0)	(70, 66.0)	(75, 99.0)	(80, 166.0)	(85, 276.0)	(90, 434.0)	(95, 639.0)	(100, 973.0)	(105, 1284.0)	(110, 1592.0)	(115, 1876.0)	(120, 2320.0)	(125, 2350.0)	(130, 2427.0)	(135, 2951.0)	(140, 589.0)	(145, 0.0)	(150, 68786.0)
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk	(50, 4.0)	(55, 11.0)	(60, 27.0)	(65, 40.0)	(70, 63.0)	(75, 105.0)	(80, 161.0)	(85, 279.0)	(90, 437.0)	(95, 643.0)	(100, 980.0)	(105, 1292.0)	(110, 1636.0)	(115, 1879.0)	(120, 2299.0)	(125, 2323.0)	(130, 2463.0)	(135, 2971.0)	(140, 594.0)	(145, 0.0)	(150, 68702.0)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk	(50, 13.0)	(55, 18.0)	(60, 53.0)	(65, 76.0)	(70, 149.0)	(75, 261.0)	(80, 385.0)	(85, 541.0)	(90, 753.0)	(95, 1101.0)	(100, 1603.0)	(105, 1936.0)	(110, 2315.0)	(115, 2568.0)	(120, 2956.0)	(125, 2710.0)	(130, 2836.0)	(135, 3179.0)	(140, 621.0)	(145, 0.0)	(150, 67027.0)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk	(50, 14.0)	(55, 19.0)	(60, 56.0)	(65, 79.0)	(70, 149.0)	(75, 265.0)	(80, 391.0)	(85, 556.0)	(90, 768.0)	(95, 1131.0)	(100, 1647.0)	(105, 1966.0)	(110, 2348.0)	(115, 2630.0)	(120, 3002.0)	(125, 2747.0)	(130, 2882.0)	(135, 3187.0)	(140, 621.0)	(145, 0.0)	(150, 66643.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk	(50, 36.0)	(55, 58.0)	(60, 128.0)	(65, 239.0)	(70, 482.0)	(75, 595.0)	(80, 946.0)	(85, 1351.0)	(90, 1870.0)	(95, 2435.0)	(100, 2985.0)	(105, 3758.0)	(110, 4212.0)	(115, 4599.0)	(120, 5074.0)	(125, 4796.0)	(130, 4888.0)	(135, 5390.0)	(140, 1026.0)	(145, 0.0)	(150, 104170.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk	(50, 36.0)	(55, 58.0)	(60, 127.0)	(65, 239.0)	(70, 493.0)	(75, 589.0)	(80, 964.0)	(85, 1357.0)	(90, 1859.0)	(95, 2422.0)	(100, 3013.0)	(105, 3775.0)	(110, 4231.0)	(115, 4618.0)	(120, 5038.0)	(125, 4733.0)	(130, 4812.0)	(135, 5348.0)	(140, 1039.0)	(145, 0.0)	(150, 104287.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk	(50, 35.0)	(55, 68.0)	(60, 131.0)	(65, 235.0)	(70, 501.0)	(75, 629.0)	(80, 965.0)	(85, 1407.0)	(90, 1882.0)	(95, 2481.0)	(100, 3184.0)	(105, 3877.0)	(110, 4487.0)	(115, 4849.0)	(120, 5282.0)	(125, 4984.0)	(130, 5076.0)	(135, 5418.0)	(140, 1033.0)	(145, 0.0)	(150, 102000.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk	(50, 35.0)	(55, 70.0)	(60, 129.0)	(65, 235.0)	(70, 496.0)	(75, 631.0)	(80, 947.0)	(85, 1423.0)	(90, 1872.0)	(95, 2497.0)	(100, 3196.0)	(105, 3863.0)	(110, 4507.0)	(115, 4878.0)	(120, 5235.0)	(125, 4936.0)	(130, 5090.0)	(135, 5432.0)	(140, 1030.0)	(145, 0.0)	(150, 102022.0)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk	(50, 35.0)	(55, 50.0)	(60, 74.0)	(65, 121.0)	(70, 201.0)	(75, 285.0)	(80, 424.0)	(85, 604.0)	(90, 824.0)	(95, 1087.0)	(100, 1329.0)	(105, 1693.0)	(110, 2083.0)	(115, 2390.0)	(120, 2708.0)	(125, 3163.0)	(130, 3409.0)	(135, 3627.0)	(140, 738.0)	(145, 0.0)	(150, 78731.0)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk	(50, 35.0)	(55, 45.0)	(60, 80.0)	(65, 173.0)	(70, 193.0)	(75, 272.0)	(80, 415.0)	(85, 601.0)	(90, 809.0)	(95, 1063.0)	(100, 1279.0)	(105, 1649.0)	(110, 1989.0)	(115, 2290.0)	(120, 2601.0)	(125, 3006.0)	(130, 3219.0)	(135, 3503.0)	(140, 724.0)	(145, 0.0)	(150, 79630.0)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R1_001_bbduk	(50, 19.0)	(55, 64.0)	(60, 83.0)	(65, 123.0)	(70, 181.0)	(75, 300.0)	(80, 431.0)	(85, 694.0)	(90, 922.0)	(95, 1288.0)	(100, 1517.0)	(105, 1830.0)	(110, 2290.0)	(115, 2436.0)	(120, 2947.0)	(125, 3254.0)	(130, 3471.0)	(135, 3679.0)	(140, 797.0)	(145, 0.0)	(150, 79797.0)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001_bbduk	(50, 19.0)	(55, 66.0)	(60, 112.0)	(65, 174.0)	(70, 183.0)	(75, 290.0)	(80, 404.0)	(85, 674.0)	(90, 893.0)	(95, 1239.0)	(100, 1485.0)	(105, 1773.0)	(110, 2199.0)	(115, 2338.0)	(120, 2811.0)	(125, 3095.0)	(130, 3311.0)	(135, 3526.0)	(140, 760.0)	(145, 0.0)	(150, 80771.0)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001_bbduk	(50, 33.0)	(55, 26.0)	(60, 76.0)	(65, 135.0)	(70, 189.0)	(75, 287.0)	(80, 449.0)	(85, 725.0)	(90, 1055.0)	(95, 1322.0)	(100, 1760.0)	(105, 2336.0)	(110, 2742.0)	(115, 3403.0)	(120, 3894.0)	(125, 4443.0)	(130, 4852.0)	(135, 5191.0)	(140, 1073.0)	(145, 0.0)	(150, 122635.0)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001_bbduk	(50, 31.0)	(55, 29.0)	(60, 110.0)	(65, 217.0)	(70, 176.0)	(75, 278.0)	(80, 441.0)	(85, 713.0)	(90, 1007.0)	(95, 1256.0)	(100, 1705.0)	(105, 2215.0)	(110, 2626.0)	(115, 3259.0)	(120, 3687.0)	(125, 4278.0)	(130, 4688.0)	(135, 5053.0)	(140, 1028.0)	(145, 0.0)	(150, 123829.0)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001_bbduk	(50, 26.0)	(55, 59.0)	(60, 81.0)	(65, 137.0)	(70, 209.0)	(75, 322.0)	(80, 430.0)	(85, 674.0)	(90, 1030.0)	(95, 1320.0)	(100, 1906.0)	(105, 2236.0)	(110, 2833.0)	(115, 3307.0)	(120, 3844.0)	(125, 4385.0)	(130, 4582.0)	(135, 5107.0)	(140, 1152.0)	(145, 0.0)	(150, 125783.0)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001_bbduk	(50, 26.0)	(55, 51.0)	(60, 124.0)	(65, 205.0)	(70, 201.0)	(75, 315.0)	(80, 410.0)	(85, 649.0)	(90, 1018.0)	(95, 1291.0)	(100, 1848.0)	(105, 2207.0)	(110, 2774.0)	(115, 3200.0)	(120, 3742.0)	(125, 4198.0)	(130, 4451.0)	(135, 5009.0)	(140, 1130.0)	(145, 0.0)	(150, 126574.0)
