Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk	Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk.fastq	Conventional base calls	Sanger / Illumina 1.9	86909.0	12.5 Mbp	0.0	50-151	63.0	36.35296689640889	144.61036256314077	151	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk	Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk.fastq	Conventional base calls	Sanger / Illumina 1.9	86909.0	12.5 Mbp	0.0	50-151	62.0	38.496588385552705	144.57801838704853	151	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk	Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk.fastq	Conventional base calls	Sanger / Illumina 1.9	91101.0	12.9 Mbp	0.0	50-151	63.0	37.085213115113994	142.149317790145	151	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk	Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk.fastq	Conventional base calls	Sanger / Illumina 1.9	91101.0	12.9 Mbp	0.0	50-151	63.0	38.80418436680168	141.98503858355014	151	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk	Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk.fastq	Conventional base calls	Sanger / Illumina 1.9	149038.0	20.9 Mbp	0.0	50-151	62.0	35.68620083468645	140.34354325742427	151	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk	Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk.fastq	Conventional base calls	Sanger / Illumina 1.9	149038.0	20.9 Mbp	0.0	50-151	62.0	37.49446449898684	140.3459117808881	151	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk	Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk.fastq	Conventional base calls	Sanger / Illumina 1.9	148524.0	20.7 Mbp	0.0	50-151	62.0	35.83326600414748	139.89151921574964	151	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk	Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk.fastq	Conventional base calls	Sanger / Illumina 1.9	148524.0	20.7 Mbp	0.0	50-151	62.0	37.6774124047292	139.89504053216987	151	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk	KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk.fastq	Conventional base calls	Sanger / Illumina 1.9	103576.0	14.8 Mbp	0.0	50-151	62.0	38.323549857109754	143.12312697922297	151	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk	KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk.fastq	Conventional base calls	Sanger / Illumina 1.9	103576.0	14.8 Mbp	0.0	50-151	62.0	38.65953502741948	143.35436780721403	151	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
