Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk	63.64703310359111	63.0	144.61036256314077	151	18.181818181818183	0.086909
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk	61.503411614447295	62.0	144.57801838704853	151	27.27272727272727	0.086909
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk	62.914786884886006	63.0	142.149317790145	151	18.181818181818183	0.091101
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk	61.19581563319832	63.0	141.98503858355014	151	27.27272727272727	0.091101
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk	64.31379916531355	62.0	140.34354325742427	151	9.090909090909092	0.149038
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk	62.50553550101316	62.0	140.3459117808881	151	18.181818181818183	0.149038
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk	64.16673399585252	62.0	139.89151921574964	151	9.090909090909092	0.148524
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk	62.3225875952708	62.0	139.89504053216987	151	18.181818181818183	0.148524
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk	61.676450142890246	62.0	143.12312697922297	151	9.090909090909092	0.103576
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk	61.34046497258052	62.0	143.35436780721403	151	18.181818181818183	0.103576
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R1_001_bbduk	61.80846753295704	62.0	142.75113783063048	151	9.090909090909092	0.106123
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001_bbduk	61.50033451749385	62.0	142.98917294083282	151	18.181818181818183	0.106123
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001_bbduk	59.3860534010956	61.0	144.12541340518177	151	18.181818181818183	0.156626
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001_bbduk	59.64207730517283	61.0	144.33142007074176	151	18.181818181818183	0.156626
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001_bbduk	60.91216449320361	61.0	144.27339844313556	151	18.181818181818183	0.15942299999999998
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001_bbduk	61.199450518432094	61.0	144.39370103435513	151	18.181818181818183	0.15942299999999998
