Geneid	standard_protocol-UHRR-Collibri-100_ng-3_S4_L001	standard_protocol-HBR-Collibri-100_ng-2_S1_L001	standard_protocol-UHRR-Collibri-100_ng-2_S3_L001	standard_protocol-HBR-Collibri-100_ng-3_S2_L001
ENSG00000011304.12	7891	374	7388	426
ENSG00000064666.10	2965	80	2754	80
ENSG00000064687.8	1070	246	1082	272
ENSG00000064932.11	1319	111	1298	141
ENSG00000065268.6	738	225	632	289
ENSG00000070388.7	2	19	1	22
ENSG00000070404.5	692	70	557	61
ENSG00000070423.13	544	197	466	216
ENSG00000071564.10	2554	209	2282	214
ENSG00000071626.12	3123	552	2794	574
ENSG00000071655.13	1716	928	1398	911
ENSG00000079313.7	664	517	646	511
ENSG00000099617.2	103	7	56	12
ENSG00000099622.9	1455	2231	1408	2278
ENSG00000099624.3	1359	915	1121	1030
ENSG00000099625.8	88	217	120	222
ENSG00000099804.4	654	350	574	390
ENSG00000099812.6	382	1	371	0
ENSG00000099817.7	1362	677	1168	691
ENSG00000099821.9	1171	518	969	526
ENSG00000099822.2	217	673	235	797
ENSG00000099864.13	233	2862	241	3025
ENSG00000099866.10	22	28	19	43
ENSG00000105549.6	0	0	0	4
ENSG00000105556.6	245	92	233	91
ENSG00000115255.6	199	79	188	136
ENSG00000115257.11	100	44	102	38
ENSG00000115266.7	68	4129	59	4359
ENSG00000115268.5	3838	1049	3636	1167
ENSG00000115286.15	668	676	667	734
ENSG00000116014.5	74	5	58	6
ENSG00000116017.6	1486	68	1359	66
ENSG00000116032.5	33	0	35	0
ENSG00000118046.10	1013	852	959	791
ENSG00000119559.11	310	157	344	226
ENSG00000127540.7	491	408	431	388
ENSG00000129911.4	415	289	391	296
ENSG00000129946.6	94	312	98	337
ENSG00000129951.14	118	168	104	202
ENSG00000129968.11	715	821	577	907
ENSG00000130005.7	309	251	306	244
ENSG00000130270.12	109	9	98	10
ENSG00000133243.4	891	1211	826	1193
ENSG00000133275.11	1160	617	956	557
ENSG00000141933.8	115	104	119	122
ENSG00000141934.5	133	62	131	40
ENSG00000160953.10	698	1274	676	1256
ENSG00000167468.12	2199	1604	1921	1754
ENSG00000167470.8	2784	509	2702	522
ENSG00000172232.5	131	5	162	8
ENSG00000172270.14	7259	3701	6747	3733
ENSG00000175221.10	622	433	587	394
ENSG00000176695.5	0	0	0	0
ENSG00000180448.6	1363	102	1261	111
ENSG00000180846.4	0	0	0	0
ENSG00000181588.15	472	170	495	175
ENSG00000181781.5	2	3	2	5
ENSG00000182087.8	2682	959	2381	1024
ENSG00000183186.6	24	161	19	183
ENSG00000185198.7	0	0	0	0
ENSG00000185761.6	119	2	94	11
