Geneid	KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001	KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001	KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001	KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001
ENSG00000011304.12	485	9644	443	10017
ENSG00000064666.10	78	5136	82	5157
ENSG00000064687.8	148	931	115	888
ENSG00000064932.11	80	772	79	898
ENSG00000065268.6	244	715	239	729
ENSG00000070388.7	34	5	21	1
ENSG00000070404.5	100	812	126	766
ENSG00000070423.13	253	467	264	547
ENSG00000071564.10	153	1897	171	2007
ENSG00000071626.12	532	3184	585	3220
ENSG00000071655.13	760	994	883	1099
ENSG00000079313.7	629	546	674	592
ENSG00000099617.2	26	102	36	120
ENSG00000099622.9	4394	2307	4601	2428
ENSG00000099624.3	1018	982	997	1050
ENSG00000099625.8	325	87	349	83
ENSG00000099804.4	479	942	550	977
ENSG00000099812.6	4	516	4	519
ENSG00000099817.7	646	1226	800	1335
ENSG00000099821.9	314	645	316	659
ENSG00000099822.2	2331	425	2474	416
ENSG00000099864.13	5714	457	6323	556
ENSG00000099866.10	54	17	48	26
ENSG00000105549.6	6	4	4	0
ENSG00000105556.6	85	212	88	220
ENSG00000115255.6	168	281	161	237
ENSG00000115257.11	45	81	29	70
ENSG00000115266.7	2996	51	3214	38
ENSG00000115268.5	3016	8573	3232	8867
ENSG00000115286.15	787	698	880	693
ENSG00000116014.5	2	46	2	37
ENSG00000116017.6	66	1956	93	1939
ENSG00000116032.5	1	29	6	41
ENSG00000118046.10	740	1089	827	1127
ENSG00000119559.11	185	236	200	268
ENSG00000127540.7	615	682	643	649
ENSG00000129911.4	351	273	391	330
ENSG00000129946.6	291	155	305	116
ENSG00000129951.14	264	115	282	146
ENSG00000129968.11	966	480	1051	503
ENSG00000130005.7	335	338	379	330
ENSG00000130270.12	5	131	2	139
ENSG00000133243.4	1342	989	1711	1031
ENSG00000133275.11	464	858	550	990
ENSG00000141933.8	97	89	128	104
ENSG00000141934.5	69	126	80	183
ENSG00000160953.10	1153	1004	1195	1083
ENSG00000167468.12	3381	3622	3617	3854
ENSG00000167470.8	539	2341	634	2305
ENSG00000172232.5	5	622	11	518
ENSG00000172270.14	4959	11346	5635	11616
ENSG00000175221.10	295	434	345	486
ENSG00000176695.5	0	0	0	0
ENSG00000180448.6	40	1615	43	1665
ENSG00000180846.4	0	0	0	0
ENSG00000181588.15	94	368	146	378
ENSG00000181781.5	2	3	5	0
ENSG00000182087.8	720	1788	770	1696
ENSG00000183186.6	166	34	174	15
ENSG00000185198.7	0	0	0	5
ENSG00000185761.6	7	89	9	92
ENSG00000185988.7	23	2	28	5
ENSG00000196415.5	24	358	27	360
ENSG00000197540.3	0	33	4	38
ENSG00000197561.2	3	840	1	956
ENSG00000197766.3	3	198	11	213
ENSG00000198683.2	229	327	252	338
ENSG00000198858.5	223	420	299	490
ENSG00000205922.4	0	0	0	1
ENSG00000206082.8	25	92	22	91
ENSG00000207357.1	2	0	5	2
ENSG00000207507.1	0	4	2	1
ENSG00000213638.4	30	41	21	38
ENSG00000213726.4	0	0	0	0
ENSG00000222329.1	0	0	0	0
ENSG00000222720.1	1	0	1	2
ENSG00000223244.1	42	22	36	35
ENSG00000225373.4	3	18	6	30
ENSG00000227500.5	495	722	553	769
ENSG00000228300.9	140	413	138	509
ENSG00000233630.4	0	0	0	0
ENSG00000239367.2	0	0	0	0
ENSG00000240846.1	4	14	5	19
ENSG00000248015.2	31	82	62	87
ENSG00000252539.1	0	0	0	0
ENSG00000252933.1	0	3	0	1
ENSG00000261204.1	0	3	0	0
ENSG00000261526.1	9	34	14	53
ENSG00000263414.1	3	0	2	0
ENSG00000265767.1	0	0	0	0
ENSG00000266399.1	0	1	0	0
ENSG00000266926.1	1	4	0	7
ENSG00000266927.2	0	6	0	7
ENSG00000266933.1	1	3	1	4
ENSG00000266939.1	10	0	8	0
ENSG00000266945.2	0	0	0	0
ENSG00000266971.1	0	1	0	0
ENSG00000266990.1	0	0	0	0
ENSG00000267007.1	2	2	5	0
ENSG00000267020.1	0	2	0	1
ENSG00000267029.3	1	0	0	2
ENSG00000267036.1	2	0	7	0
ENSG00000267059.2	814	991	875	1002
ENSG00000267073.1	0	2	0	0
ENSG00000267092.1	2	0	3	0
ENSG00000267124.2	0	0	0	1
ENSG00000267125.1	1	0	1	0
ENSG00000267141.1	0	0	0	1
ENSG00000267159.1	0	0	0	0
ENSG00000267161.1	27	75	19	74
ENSG00000267232.1	0	0	1	0
ENSG00000267237.2	7	8	2	7
ENSG00000267244.1	3	1	2	0
ENSG00000267290.1	0	0	0	1
ENSG00000267305.1	4	3	1	0
ENSG00000267310.1	0	0	0	0
ENSG00000267317.1	24	151	21	143
ENSG00000267372.1	1	0	3	0
ENSG00000267443.1	0	0	0	0
ENSG00000267447.1	0	0	0	0
ENSG00000267493.2	1	4	2	8
ENSG00000267530.2	2	49	0	55
ENSG00000267588.2	0	5	6	4
ENSG00000267600.1	4	15	3	19
ENSG00000267616.1	0	0	0	0
ENSG00000267639.2	2	0	0	0
ENSG00000267666.1	6	6	7	10
ENSG00000267715.1	0	1	0	1
ENSG00000267736.1	0	0	0	0
ENSG00000267751.1	4	43	5	27
ENSG00000267755.1	0	0	5	0
ENSG00000267759.1	0	9	0	13
ENSG00000267778.1	7	0	3	1
ENSG00000267792.1	0	0	0	0
ENSG00000268798.1	10	11	18	8
ENSG00000269169.1	0	2	0	0
ENSG00000271846.1	0	0	0	0
ENSG00000272098.1	40	129	60	132
ENSG00000272448.1	0	1	0	2
ENSG00000272473.1	2	3	0	3
