"gene","padj"
"ENSG00000011304.12",0
"ENSG00000064666.10",1.10990491966377e-285
"ENSG00000064687.8",1.04275555282647e-20
"ENSG00000064932.11",4.56089416972734e-32
"ENSG00000065268.6",0.00136718456704091
"ENSG00000070388.7",8.89196092140851e-06
"ENSG00000070404.5",7.91684369187126e-21
"ENSG00000070423.13",0.806450464166434
"ENSG00000071564.10",6.38255401601048e-81
"ENSG00000071626.12",3.54095847760799e-58
"ENSG00000071655.13",1.37458818906868e-09
"ENSG00000079313.7",1.7700874834087e-21
"ENSG00000099617.2",0.091173688420387
"ENSG00000099622.9",4.20277148408985e-218
"ENSG00000099624.3",1.98763040063902e-21
"ENSG00000099625.8",1.21400576601702e-44
"ENSG00000099804.4",0.394603890606111
"ENSG00000099812.6",2.15950596333304e-26
"ENSG00000099817.7",0.124342846794334
"ENSG00000099821.9",0.92581465615076
"ENSG00000099822.2",0
"ENSG00000099864.13",0
"ENSG00000099866.10",1.61822345755881e-05
"ENSG00000105549.6",0.249127524742471
"ENSG00000105556.6",0.382756282640675
"ENSG00000115255.6",0.165476183691246
"ENSG00000115257.11",0.982581103911518
"ENSG00000115266.7",0
"ENSG00000115268.5",8.78202488910783e-16
"ENSG00000115286.15",1.35666041158409e-28
"ENSG00000116014.5",0.00232680677043759
"ENSG00000116017.6",5.53371542066922e-106
"ENSG00000116032.5",0.0324428954503476
"ENSG00000118046.10",2.19435842204715e-06
"ENSG00000119559.11",0.00522925114094574
"ENSG00000127540.7",3.59271299199885e-13
"ENSG00000129911.4",2.99861182170357e-14
"ENSG00000129946.6",2.59198247584916e-22
"ENSG00000129951.14",1.49975754508569e-21
"ENSG00000129968.11",1.81073205787611e-73
"ENSG00000130005.7",5.68607750538003e-11
"ENSG00000130270.12",2.03491317995628e-09
"ENSG00000133243.4",5.36774281156329e-58
"ENSG00000133275.11",0.293878052437165
"ENSG00000141933.8",9.63233189016628e-05
"ENSG00000141934.5",0.966617111224715
"ENSG00000160953.10",8.61535052570192e-34
"ENSG00000167468.12",5.41527309530353e-52
"ENSG00000167470.8",7.90208490564684e-21
"ENSG00000172232.5",5.07976567914314e-33
"ENSG00000172270.14",0.1330420791102
"ENSG00000175221.10",0.004532614074491
"ENSG00000176695.5",NA
"ENSG00000180448.6",5.63267992777912e-100
"ENSG00000180846.4",NA
"ENSG00000181588.15",0.0176736987812893
"ENSG00000181781.5",0.363354606678881
"ENSG00000182087.8",0.0997819839863614
"ENSG00000183186.6",6.23565082155716e-26
"ENSG00000185198.7",0.595506942432945
"ENSG00000185761.6",7.87649549028342e-05
"ENSG00000185988.7",2.10719142271256e-05
"ENSG00000196415.5",3.30354875994927e-18
"ENSG00000197540.3",0.00882455120777096
"ENSG00000197561.2",4.82098455208545e-25
"ENSG00000197766.3",3.97371473891464e-13
"ENSG00000198683.2",0.00560518679674877
"ENSG00000198858.5",0.306921899071819
"ENSG00000205922.4",NA
"ENSG00000206082.8",0.0826747092980564
"ENSG00000207357.1",0.260994948395285
"ENSG00000207507.1",0.922933866460273
"ENSG00000213638.4",0.579253714592952
"ENSG00000213726.4",NA
"ENSG00000222329.1",NA
"ENSG00000222720.1",0.806450464166434
"ENSG00000223244.1",0.00983671154630652
"ENSG00000225373.4",0.24282932334925
"ENSG00000227500.5",0.000125734294191656
"ENSG00000228300.9",0.00184175191063657
"ENSG00000233630.4",NA
"ENSG00000239367.2",NA
"ENSG00000240846.1",0.532462737148013
"ENSG00000248015.2",0.806450464166434
"ENSG00000252539.1",NA
"ENSG00000252933.1",0.62895803302614
"ENSG00000261204.1",0.766484260775984
"ENSG00000261526.1",0.270324942465269
"ENSG00000263414.1",0.12889678574534
"ENSG00000265767.1",NA
"ENSG00000266399.1",NA
"ENSG00000266926.1",0.408919697722681
"ENSG00000266927.2",0.153147871318266
"ENSG00000266933.1",0.806450464166434
"ENSG00000266939.1",0.000965887232290812
"ENSG00000266945.2",NA
"ENSG00000266971.1",NA
"ENSG00000266990.1",NA
"ENSG00000267007.1",0.264486802422924
"ENSG00000267020.1",0.749991997964262
"ENSG00000267029.3",0.982581103911518
"ENSG00000267036.1",0.0278728547168436
"ENSG00000267059.2",4.68526183730133e-13
"ENSG00000267073.1",0.83053199042038
"ENSG00000267092.1",0.131803092334522
"ENSG00000267124.2",NA
"ENSG00000267125.1",0.47629550358901
"ENSG00000267141.1",NA
"ENSG00000267159.1",NA
"ENSG00000267161.1",0.270324942465269
"ENSG00000267232.1",NA
"ENSG00000267237.2",0.859781738417871
"ENSG00000267244.1",0.270324942465269
"ENSG00000267290.1",NA
"ENSG00000267305.1",0.528777298481786
"ENSG00000267310.1",NA
"ENSG00000267317.1",0.000124698528216351
"ENSG00000267372.1",0.213884847951084
"ENSG00000267443.1",NA
"ENSG00000267447.1",NA
"ENSG00000267493.2",0.694149464381966
"ENSG00000267530.2",0.000342321353259714
"ENSG00000267588.2",0.868915493021876
"ENSG00000267600.1",0.363354606678881
"ENSG00000267616.1",NA
"ENSG00000267639.2",0.501841715469604
"ENSG00000267666.1",0.627507965361912
"ENSG00000267715.1",0.83053199042038
"ENSG00000267736.1",NA
"ENSG00000267751.1",0.0528226625679005
"ENSG00000267755.1",0.183069280838475
"ENSG00000267759.1",0.0397701608370788
"ENSG00000267778.1",0.07038378175218
"ENSG00000267792.1",NA
"ENSG00000268798.1",0.12889678574534
"ENSG00000269169.1",0.83053199042038
"ENSG00000271846.1",NA
"ENSG00000272098.1",0.408919697722681
"ENSG00000272448.1",0.749991997964262
"ENSG00000272473.1",0.868915493021876
