"gene","padj"
"ENSG00000011304.12",0
"ENSG00000064666.10",4.57176418186146e-193
"ENSG00000064687.8",4.71979335153981e-15
"ENSG00000064932.11",6.01647339828349e-56
"ENSG00000065268.6",0.0115629680488761
"ENSG00000070388.7",3.8795232192375e-05
"ENSG00000070404.5",2.45821308888755e-27
"ENSG00000070423.13",0.11467126646289
"ENSG00000071564.10",2.25040650942475e-119
"ENSG00000071626.12",9.88393015101624e-66
"ENSG00000071655.13",0.013681419139034
"ENSG00000079313.7",3.57924904026199e-07
"ENSG00000099617.2",0.000896077413579243
"ENSG00000099622.9",3.44626331775545e-129
"ENSG00000099624.3",2.64321520802991e-11
"ENSG00000099625.8",1.77656436785004e-17
"ENSG00000099804.4",0.0909902408013424
"ENSG00000099812.6",1.52694179259016e-08
"ENSG00000099817.7",0.360255783219022
"ENSG00000099821.9",0.763775690024927
"ENSG00000099822.2",7.58814361726011e-79
"ENSG00000099864.13",0
"ENSG00000099866.10",0.00179056348931856
"ENSG00000105549.6",0.313388338453292
"ENSG00000105556.6",0.158771906399691
"ENSG00000115255.6",0.716855369831269
"ENSG00000115257.11",0.505870998121021
"ENSG00000115266.7",0
"ENSG00000115268.5",3.22913581340523e-26
"ENSG00000115286.15",2.17449616882279e-20
"ENSG00000116014.5",0.00024032324862871
"ENSG00000116017.6",3.64471746463277e-92
"ENSG00000116032.5",0.000189061134790635
"ENSG00000118046.10",4.92895674837043e-13
"ENSG00000119559.11",0.416844159059598
"ENSG00000127540.7",4.06950170002406e-08
"ENSG00000129911.4",0.0014197210845317
"ENSG00000129946.6",5.5772797082788e-43
"ENSG00000129951.14",4.16060349478058e-13
"ENSG00000129968.11",8.75212320845529e-39
"ENSG00000130005.7",0.00024032324862871
"ENSG00000130270.12",5.44914315695445e-06
"ENSG00000133243.4",2.86007181498756e-63
"ENSG00000133275.11",0.265921850303787
"ENSG00000141933.8",0.00115101290649675
"ENSG00000141934.5",0.346915717390873
"ENSG00000160953.10",4.97549752691391e-93
"ENSG00000167468.12",1.66831390722256e-22
"ENSG00000167470.8",1.82333494380314e-57
"ENSG00000172232.5",2.77387977781461e-10
"ENSG00000172270.14",0.0985269178470284
"ENSG00000175221.10",0.00156630995620889
"ENSG00000176695.5",NA
"ENSG00000180448.6",3.7363983415605e-68
"ENSG00000180846.4",NA
"ENSG00000181588.15",0.00910957318493665
"ENSG00000181781.5",0.339900248205446
"ENSG00000182087.8",4.30461123497742e-06
"ENSG00000183186.6",8.74254782038639e-34
"ENSG00000185198.7",NA
"ENSG00000185761.6",0.00124578458656827
"ENSG00000185988.7",3.59901261781755e-05
"ENSG00000196415.5",0.00576173692024892
"ENSG00000197540.3",0.0148900218295617
"ENSG00000197561.2",4.51273401206175e-15
"ENSG00000197766.3",2.64321520802991e-11
"ENSG00000198683.2",0.204003434914602
"ENSG00000198858.5",0.682487182668524
"ENSG00000205922.4",NA
"ENSG00000206082.8",0.832954354230838
"ENSG00000207357.1",0.623255987401451
"ENSG00000207507.1",0.768440408529929
"ENSG00000213638.4",0.351654039407843
"ENSG00000213726.4",0.743800740593542
"ENSG00000222329.1",NA
"ENSG00000222720.1",NA
"ENSG00000223244.1",0.749438098598399
"ENSG00000225373.4",0.821535595490071
"ENSG00000227500.5",0.000131322843474842
"ENSG00000228300.9",0.000550602908006663
"ENSG00000233630.4",NA
"ENSG00000239367.2",NA
"ENSG00000240846.1",0.132100072849193
"ENSG00000248015.2",0.329097474324008
"ENSG00000252539.1",NA
"ENSG00000252933.1",NA
"ENSG00000261204.1",0.653604974057164
"ENSG00000261526.1",0.0503271621784272
"ENSG00000263414.1",0.137251668607815
"ENSG00000265767.1",0.192373535373909
"ENSG00000266399.1",NA
"ENSG00000266926.1",0.790363381107549
"ENSG00000266927.2",NA
"ENSG00000266933.1",0.565666665741887
"ENSG00000266939.1",NA
"ENSG00000266945.2",NA
"ENSG00000266971.1",NA
"ENSG00000266990.1",0.591957104138855
"ENSG00000267007.1",NA
"ENSG00000267020.1",NA
"ENSG00000267029.3",NA
"ENSG00000267036.1",0.313388338453292
"ENSG00000267059.2",1.73562499831537e-06
"ENSG00000267073.1",NA
"ENSG00000267092.1",0.768440408529929
"ENSG00000267124.2",NA
"ENSG00000267125.1",NA
"ENSG00000267141.1",NA
"ENSG00000267159.1",NA
"ENSG00000267161.1",0.159566215442346
"ENSG00000267232.1",NA
"ENSG00000267237.2",0.629008910658463
"ENSG00000267244.1",NA
"ENSG00000267290.1",0.743800740593542
"ENSG00000267305.1",NA
"ENSG00000267310.1",NA
"ENSG00000267317.1",0.000204991381467697
"ENSG00000267372.1",NA
"ENSG00000267443.1",NA
"ENSG00000267447.1",NA
"ENSG00000267493.2",0.768440408529929
"ENSG00000267530.2",0.00892499414809683
"ENSG00000267588.2",0.253496401798831
"ENSG00000267600.1",0.98821128247821
"ENSG00000267616.1",0.867522445878641
"ENSG00000267639.2",0.743800740593542
"ENSG00000267666.1",0.22076798264948
"ENSG00000267715.1",NA
"ENSG00000267736.1",NA
"ENSG00000267751.1",0.0487235339945484
"ENSG00000267755.1",NA
"ENSG00000267759.1",0.214360920537473
"ENSG00000267778.1",0.0306056422581603
"ENSG00000267792.1",NA
"ENSG00000268798.1",0.98821128247821
"ENSG00000269169.1",0.72417509682952
"ENSG00000271846.1",NA
"ENSG00000272098.1",0.690409895915025
"ENSG00000272448.1",NA
"ENSG00000272473.1",0.749438098598399
