baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000011304.12	2998.49758032775	3.26622608790352	0.0723226640807375	45.1618608000565	0	0
ENSG00000099864.13	2161.69650604553	-4.62393999281543	0.0906170361426866	-51.0272702534049	0	0
ENSG00000115266.7	3017.44989295856	-7.05378951868257	0.137852619297236	-51.169064139966	0	0
ENSG00000064666.10	1072.89978983826	4.17018455015718	0.140176465956205	29.7495340727171	1.75837083917748e-194	4.57176418186146e-193
ENSG00000099622.9	2100.37430857016	-1.64389129284508	0.0676306198445328	-24.3069085663269	1.6568573643055e-130	3.44626331775545e-129
ENSG00000071564.10	1007.77453230234	2.5241511525319	0.108088882087038	23.3525511948523	1.29831144774505e-120	2.25040650942475e-119
ENSG00000160953.10	1137.13440983068	-1.86944480446979	0.0907922462982796	-20.5903574444904	3.34889256619206e-94	4.97549752691391e-93
ENSG00000116017.6	552.692092489139	3.41809767627965	0.16684109895147	20.4871443412987	2.80362881894828e-93	3.64471746463277e-92
ENSG00000099822.2	599.436734529463	-2.68764844975922	0.141984960504268	-18.9291065773014	6.56666274570586e-80	7.58814361726011e-79
ENSG00000180448.6	541.47130243439	2.63318531883042	0.149794844038175	17.5786111714189	3.59269071303894e-69	3.7363983415605e-68
ENSG00000071626.12	1447.76911625924	1.40275033821668	0.0813003409328835	17.2539293454465	1.04541568904979e-66	9.88393015101624e-66
ENSG00000133243.4	1153.32162881935	-1.4754059872974	0.0872078765632577	-16.9182652466855	3.30008286344718e-64	2.86007181498756e-63
ENSG00000167470.8	1340.07234431304	1.42385927931767	0.0884001870046666	16.1069713488559	2.27916867975392e-58	1.82333494380314e-57
ENSG00000064932.11	554.851177084986	2.38902955356039	0.150398938646191	15.8846171061122	8.09909880538162e-57	6.01647339828349e-56
ENSG00000129946.6	263.240790235816	-2.74468024096501	0.197702460978705	-13.8828835381095	8.04415342540212e-44	5.5772797082788e-43
ENSG00000129968.11	838.418327072139	-1.41372093670158	0.107362834864907	-13.167693815839	1.34648049360851e-39	8.75212320845529e-39
ENSG00000183186.6	128.993199912987	-3.99297532472586	0.325608688415842	-12.2631104966902	1.42907031679393e-34	8.74254782038639e-34
ENSG00000070404.5	267.265401662112	2.25839595710014	0.205489732079849	10.9903104853072	4.25459957692076e-28	2.45821308888755e-27
ENSG00000115268.5	2111.08191289132	0.765074847891377	0.0711669877673529	10.750417741333	5.89938273602878e-27	3.22913581340523e-26
