Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001_bbduk	(1, 0.0046025152745975675)	(2, 0.0)	(3, 0.0)	(4, 0.0023012576372987838)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.009665504504815492)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0006928038464469555)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.00027112100401530207)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001_bbduk	(1, 0.08859841903600318)	(2, 0.0)	(3, 0.0011506288186493919)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0002301257637298784)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00046026211927692825)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.00023060656444646353)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0004719385347252374)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0007880779566714739)	(130, 0.00027124823010529856)	(135, 0.0)	(140, 0.00029060981563713297)	(145, 0.0)	(150, 0.0)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001_bbduk	(1, 0.002195365583253751)	(2, 0.002195365583253751)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.007903906066467459)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0002212565602570116)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk	(1, 0.07464242983062755)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0004391068566535666)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0005335211327720691)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk	(1, 0.005367758558220051)	(2, 0.006038728377997558)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00013419396395550128)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.009394497776859205)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.00040773611318754496)	(85, 0.0)	(90, 0.00013840370700488841)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0001916163992979175)	(145, 0.0)	(150, 0.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk	(1, 0.0939357747688509)	(2, 0.0)	(3, 0.0013419396395550128)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.00013419396395550128)	(50, 0.000402621333293966)	(55, 0.0)	(60, 0.00013432591227443321)	(65, 0.0)	(70, 0.0)	(75, 0.0002705126349688978)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.00014313298055824725)	(105, 0.0)	(110, 0.0)	(115, 0.00031224678737086644)	(120, 0.0)	(125, 0.0006759634168598795)	(130, 0.00017605478825010343)	(135, 0.0)	(140, 0.0003827941677480602)	(145, 0.0)	(150, 0.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk	(1, 0.0047130430098839245)	(2, 0.002019875575664539)	(3, 0.0)	(4, 0.0013465837171096927)	(5, 0.0)	(6, 0.0006732918585548464)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.008753454247714674)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.00013647051759173206)	(85, 0.0)	(90, 0.00041714754508669717)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.00017946716199603377)	(135, 0.0)	(140, 0.00039136415847900233)	(145, 0.0)	(150, 0.0)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk	(1, 0.08618135789502034)	(2, 0.0)	(3, 0.003366459292774232)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0002693374164885673)	(55, 0.0)	(60, 0.00013479268884455706)	(65, 0.0)	(70, 0.0)	(75, 0.00013575299471106333)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0001578285319263446)	(120, 0.0)	(125, 0.000514846455625384)	(130, 0.0)	(135, 0.0)	(140, 0.0001956411159369253)	(145, 0.0)	(150, 0.0)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk	(1, 0.0038618985093071753)	(2, 0.016413068664555497)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.007723797018614351)	(45, 0.0)	(50, 0.0)	(55, 0.007534528425457433)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk	(1, 0.0955819881053526)	(2, 0.0)	(3, 0.0019309492546535877)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.000579330641376953)	(55, 0.0)	(60, 0.00019330245648761706)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.00040828658451940586)	(110, 0.0)	(115, 0.0004251836261785558)	(120, 0.0)	(125, 0.0013502322399452705)	(130, 0.0)	(135, 0.0)	(140, 0.000501411473297332)	(145, 0.0)	(150, 0.0)
