# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "play_data_ref_annot/chr19_20Mb.gtf" "-o" "data_output_featureCount/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001.txt" "data_output_star_mapped/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	data_output_star_mapped/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_Aligned.sortedByCoord.out.bam
ENSG00000225373.4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	60105;60105;60521;60951;62115;63821;65058;65822;65822;66320;66346;66346;66346;66346;66346;66346;66346;66346;66346;66346;70652;70928;70928;70928;70928;70928;70928;70928;70928;71431	60162;60162;60747;61894;66499;64213;65226;66047;66133;66492;66499;66499;66499;66416;66382;66499;66499;66499;66499;66499;71626;71535;71607;70945;70966;70951;70944;70951;70951;71568	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6589	20
ENSG00000267588.2	chr19;chr19;chr19;chr19;chr19;chr19	71161;71786;71973;72171;72585;72585	71646;72274;72110;72274;72718;72719	+;+;+;+;+;+	1110	7
ENSG00000233630.4	chr19;chr19;chr19;chr19;chr19	76220;76789;76886;77330;77330	76783;77090;77090;77659;77690	-;-;-;-;-	1227	2
ENSG00000266945.2	chr19;chr19;chr19	94062;94659;96405	94956;94677;96511	+;+;+	1002	0
ENSG00000267310.1	chr19	104535	105471	+	937	0
ENSG00000176695.5	chr19;chr19;chr19	107471;110625;110679	107555;111696;111596	+;+;+	1157	0
ENSG00000267792.1	chr19	145485	145812	+	328	0
ENSG00000266971.1	chr19	156279	157215	-	937	1
ENSG00000267616.1	chr19;chr19;chr19	159361;169804;174559	159632;169836;174665	-;-;-	412	0
ENSG00000267290.1	chr19	176907	177913	+	1007	0
ENSG00000267237.2	chr19;chr19;chr19;chr19;chr19;chr19	182673;191120;195032;195494;195904;196659	182785;191354;195146;195716;195951;196756	-;-;-;-;-;-	832	8
ENSG00000267639.2	chr19;chr19	193236;195063	195017;196050	+;+	2770	3
ENSG00000272098.1	chr19;chr19;chr19;chr19	197075;197307;198693;199175	198547;197718;199032;199431	-;-;-;-	2070	130
ENSG00000267029.3	chr19;chr19;chr19	197955;198052;200578	198333;198234;200775	+;+;+	577	78
ENSG00000206082.8	chr19;chr19	200460;204840	201662;205074	-;-	1438	95
ENSG00000222329.1	chr19	223158	223261	-	104	0
ENSG00000267600.1	chr19;chr19	229640;230084	229709;230165	-;-	152	15
ENSG00000267305.1	chr19	239145	239247	-	103	3
ENSG00000271846.1	chr19	259260	259346	-	87	0
ENSG00000267447.1	chr19	279495	280170	+	676	0
ENSG00000141934.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	281040;281345;281388;281991;282134;282134;282134;282752;282752;282752;282752;287161;287474;287474;287474;287474;287474;288020;288020;288020;288020;288020;290952;291285;291285;291326	281537;281537;281537;282310;282310;282310;282310;282809;282809;282809;282809;287751;287751;287636;287751;287751;287751;288189;288530;288171;288171;288171;291170;291382;291386;291393	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2306	127
ENSG00000267124.2	chr19;chr19	305573;306057	305703;306467	+;+	542	46
ENSG00000105556.6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	305575;307119;308577;308801;311845;312191;313492;325635;326507;326652;327133;327864;327864;327864;330264;334115;334400;334400;334400;336083;336083;336083;340514;344774;344774;344774	306711;307536;308665;308925;311939;312272;313643;325704;326598;327256;327256;327989;327989;327989;330380;334542;334542;334542;334542;336173;336173;336173;340599;344798;344778;344793	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3738	216
ENSG00000105549.6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	361750;362057;362200;367065;367065;367065;367202;371205;371205;371205;372631;372631;372631;373470;373470;373470;373940;373940;374299;374299;374299;375663;375663	362426;362426;362426;367224;367224;367224;367224;371322;371322;371322;372700;372700;372700;373531;373531;373531;374249;374011;374421;374421;374620;375970;376013	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2070	4
ENSG00000267443.1	chr19;chr19	397589;398690	397633;398941	+;+	297	0
ENSG00000183186.6	chr19;chr19	405438;409006	408401;409139	-;-	3098	34
ENSG00000129946.6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	416583;416583;416583;416609;417200;418923;418923;418923;418923;418923;422146;422146;422146;422146;425097;425097;430684;430684;430684;434702;434709;434709;434709;435771;435771;436165;436165;436165;436165;436165;436165;436380;436380;436380;436380;436380;436630;436630;436630;438718;438718;438718;438718;438970;438970;438970;438970;439233;440862;440862;440862;460529;460529	417322;417322;417322;417322;417322;419056;419056;419056;419056;419879;422379;422456;422456;422828;425231;425231;430747;430747;430747;434865;434865;434865;434865;435961;435961;436291;436291;436291;436258;436291;436291;436431;436431;436534;436683;436431;436683;436683;436683;438837;438837;438837;438837;439030;439030;439030;439030;439491;440932;441384;440932;460571;460996	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4796	159
ENSG00000252539.1	chr19	453134	453245	+	112	0
ENSG00000181781.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	463346;463467;464146;467649;467649;467649;472394;472394;474621;474621	464364;464364;464364;467762;467762;467762;472501;472631;474880;474983	-;-;-;-;-;-;-;-;-;-	1734	3
ENSG00000099866.10	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	489176;496454;496454;496500;497833;497833;498496;498496;498496;501669;501669;504745;504745;504745;504745	490039;496551;496551;496551;498117;498117;498825;498825;498825;501929;501929;504965;505347;505347;505342	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2441	18
ENSG00000266933.1	chr19;chr19;chr19	490046;501541;507376	490353;501624;507813	-;-;-	830	46
ENSG00000141933.8	chr19;chr19;chr19	507299;507500;518889	507844;510372;519654	+;+;+	3840	93
